AttemptID,ShipmentID,CourierID,AttemptTime,IsSuccessful,FailureReasonID
200,198,1980,2025-12-25,1,
201,200,1958,2025-12-28,1,
202,201,216,2026-02-16,1,
203,202,648,2025-12-29,1,
204,203,2800,2026-01-31,1,
205,204,639,2025-03-25,1,
206,205,1751,2025-10-04,1,
207,206,237,2026-01-08,1,
208,207,2125,2025-04-06,0,4
209,208,101,2025-09-14,1,
210,209,2128,2025-04-23,1,
211,210,537,2025-12-04,1,
212,211,1370,2025-10-16,1,
213,212,1764,2025-06-07,1,
214,213,932,2025-05-15,1,
215,214,2557,2025-03-19,0,7
216,215,1324,2025-12-17,1,
217,216,1084,2026-03-10,1,
218,217,119,2025-04-13,1,
219,218,413,2025-12-13,1,
220,219,2910,2025-07-18,1,
221,220,372,2025-08-14,1,
222,221,1713,2026-01-15,1,
223,222,167,2025-07-04,1,
224,223,52,2026-03-02,1,
225,224,1160,2025-04-16,1,
226,225,926,2025-12-25,0,3
228,226,2703,2025-08-30,0,9
227,226,2703,2025-08-31,0,14
229,227,1781,2025-12-25,1,
230,230,360,2025-11-10,1,
231,231,575,2025-04-16,1,
232,232,348,2025-11-09,1,
233,233,123,2026-02-26,1,
234,234,1178,2025-11-02,1,
235,236,92,2025-03-21,1,
236,237,2029,2025-11-07,1,
237,238,509,2025-03-09,1,
238,239,612,2025-04-05,0,4
239,240,2325,2025-04-26,1,
240,241,561,2025-11-12,1,
241,242,1364,2025-05-18,1,
242,243,2440,2026-02-04,1,
243,244,511,2025-06-10,0,19
244,245,660,2025-07-31,1,
245,246,533,2026-02-04,1,
246,247,2065,2026-02-01,1,
247,248,1056,2025-10-03,0,12
248,249,338,2025-09-06,1,
249,250,159,2025-06-05,1,
250,251,235,2025-06-05,1,
251,252,1224,2025-07-28,1,
252,253,1581,2025-08-02,1,
253,254,209,2025-08-11,1,
254,255,348,2025-06-20,1,
255,256,1114,2025-09-26,1,
256,257,754,2025-09-27,1,
257,258,2251,2025-11-02,1,
258,259,2045,2025-09-23,1,
259,260,2089,2025-04-04,1,
260,262,579,2026-02-10,1,
261,263,1471,2025-06-04,1,
262,264,2024,2025-09-21,0,2
263,265,2721,2025-06-04,1,
264,266,150,2025-06-23,1,
265,267,2481,2025-11-15,1,
266,268,2286,2025-12-29,1,
267,269,394,2025-09-23,1,
268,270,504,2025-03-10,1,
269,271,1752,2025-07-02,1,
270,272,920,2025-07-22,1,
271,273,2758,2025-10-14,1,
272,274,1994,2025-10-20,1,
273,275,1849,2025-10-25,1,
274,276,1683,2025-08-15,1,
275,277,1758,2025-11-06,0,3
276,278,807,2025-10-10,1,
277,279,733,2025-09-13,1,
279,281,1640,2025-11-02,0,5
278,281,1640,2025-11-03,0,1
280,282,2100,2025-05-16,1,
281,283,603,2026-01-31,1,
283,284,1360,2025-07-12,0,1
282,284,1360,2025-07-13,0,1
284,285,2819,2025-07-14,1,
285,286,2541,2025-07-31,1,
286,287,2666,2026-01-21,1,
287,288,2728,2025-05-06,1,
288,289,399,2025-11-14,1,
289,290,2800,2025-04-13,1,
290,291,971,2026-02-25,1,
291,292,889,2025-06-15,1,
292,293,2801,2025-04-22,1,
293,294,1553,2025-12-11,1,
294,296,2731,2025-12-28,1,
295,297,1605,2025-08-17,1,
296,298,998,2025-10-06,1,
297,299,2946,2025-11-22,1,
298,300,2928,2025-12-13,0,19
299,301,1545,2025-06-14,1,
300,302,1585,2025-11-10,1,
301,303,260,2025-04-13,1,
302,304,155,2025-07-13,1,
303,305,2997,2025-07-29,1,
304,306,874,2025-08-29,1,
306,307,2112,2025-11-19,0,1
305,307,2112,2025-11-20,0,2
307,308,1641,2025-08-17,1,
308,309,1241,2025-03-15,1,
309,310,2215,2025-08-19,1,
311,311,2590,2025-07-29,0,2
310,311,2590,2025-07-30,0,1
313,312,1951,2026-02-23,0,2
312,312,1951,2026-02-24,0,16
314,313,614,2026-02-21,0,1
315,314,1968,2026-03-06,1,
316,315,987,2025-07-22,1,
317,316,1475,2025-09-02,1,
318,317,32,2025-03-09,0,20
319,318,885,2025-06-11,1,
321,319,188,2025-07-27,0,4
320,319,188,2025-07-28,0,3
322,320,513,2026-02-03,1,
323,321,791,2026-01-24,1,
324,322,1754,2025-04-17,1,
325,323,1231,2025-08-30,1,
326,325,1551,2025-08-19,1,
327,326,514,2026-02-18,1,
328,327,2337,2026-01-20,1,
329,329,1090,2025-08-15,1,
330,330,895,2025-08-02,1,
331,331,2458,2025-05-06,1,
332,332,2211,2025-07-10,1,
333,333,2863,2025-08-19,1,
334,334,2870,2025-03-13,1,
335,335,912,2025-11-29,1,
336,336,891,2026-02-22,1,
337,337,1404,2025-11-23,0,2
338,338,1311,2025-11-17,1,
339,340,2479,2025-07-22,1,
340,341,1853,2025-10-25,1,
341,342,2072,2025-08-07,1,
342,343,1367,2025-08-24,1,
343,344,2621,2025-05-09,1,
344,345,1020,2025-09-28,0,2
345,346,2697,2025-04-27,1,
347,347,2819,2025-07-08,0,15
346,347,2819,2025-07-09,0,2
348,348,610,2026-01-06,0,8
349,349,1215,2026-01-28,1,
351,350,2666,2026-02-10,0,13
350,350,2666,2026-02-11,0,3
352,351,1481,2025-09-11,1,
353,352,2701,2025-12-02,1,
354,353,866,2025-08-08,1,
356,354,2380,2025-03-06,0,18
355,354,2380,2025-03-07,0,1
357,355,1937,2026-02-14,1,
358,356,161,2025-06-26,1,
359,357,982,2025-08-11,1,
360,358,1609,2025-08-04,1,
361,359,142,2025-09-05,1,
362,360,2782,2025-04-03,1,
363,362,1005,2026-01-31,1,
364,363,1478,2026-01-06,1,
365,364,728,2025-12-17,1,
367,365,1285,2025-06-16,0,1
366,365,1285,2025-06-17,0,9
368,366,2536,2026-02-19,1,
369,367,90,2025-09-15,1,
370,368,230,2025-07-15,1,
371,369,2312,2025-08-24,1,
372,370,1979,2025-08-09,1,
373,371,2287,2026-02-20,1,
374,372,1281,2025-07-15,1,
375,373,2807,2026-03-02,1,
376,374,809,2025-07-07,1,
377,375,2656,2026-03-03,1,
378,376,2235,2025-06-10,1,
379,377,2212,2025-07-31,1,
380,379,2294,2025-05-28,1,
381,380,423,2026-01-29,1,
382,381,2925,2025-10-28,1,
383,382,2456,2025-05-17,1,
384,383,299,2025-07-24,1,
385,384,377,2025-06-25,0,1
386,385,1668,2025-06-11,1,
105305,385,438,2025-06-11,1,
387,386,875,2025-12-05,1,
388,387,2828,2025-05-26,1,
389,388,2053,2025-09-30,1,
390,389,229,2025-05-25,1,
391,391,2696,2025-09-26,0,4
392,392,2128,2025-08-05,1,
393,393,1164,2025-03-11,1,
394,394,222,2025-04-16,1,
105553,394,2482,2025-04-16,1,
395,395,2141,2026-01-30,1,
396,396,889,2026-02-03,1,
397,397,1786,2026-02-14,1,
398,398,274,2026-01-26,1,
399,399,2282,2025-06-09,1,
400,400,1468,2025-08-17,0,8
401,402,2557,2026-03-01,1,
402,403,1847,2025-11-26,1,
403,404,1526,2026-01-15,1,
404,405,1528,2025-06-16,1,
405,406,2001,2025-11-23,1,
406,407,285,2026-02-27,1,
407,408,1565,2025-08-15,1,
408,409,1288,2026-02-16,1,
409,410,1311,2025-03-21,1,
410,411,1274,2025-04-30,1,
411,412,2601,2025-10-20,1,
412,413,325,2025-07-11,1,
413,414,1216,2025-09-02,1,
414,415,952,2025-04-26,1,
415,416,2842,2025-08-16,1,
416,417,2712,2025-03-08,1,
418,418,2304,2026-01-11,0,11
417,418,2304,2026-01-12,0,6
420,419,2312,2025-07-14,0,2
419,419,2312,2025-07-15,0,2
421,420,754,2025-09-22,1,
422,421,287,2025-03-12,1,
423,422,1177,2025-04-28,1,
424,423,1395,2025-10-22,1,
425,424,363,2025-07-30,1,
426,425,108,2025-10-08,0,3
427,426,1063,2025-07-10,0,19
428,427,2770,2025-04-21,0,19
430,428,1767,2025-10-14,0,4
429,428,1767,2025-10-15,0,8
431,429,778,2026-03-01,1,
432,430,2788,2026-01-30,1,
433,431,2064,2025-03-15,1,
434,432,1581,2025-06-24,1,
435,433,899,2025-11-12,1,
436,434,2123,2025-11-14,1,
437,435,1244,2026-01-28,1,
438,436,2843,2026-01-14,1,
439,437,326,2025-03-16,1,
440,438,2481,2025-06-02,1,
441,439,746,2025-03-07,1,
442,440,1036,2025-05-12,1,
443,442,1724,2026-02-07,1,
444,443,2995,2025-07-14,1,
445,444,1955,2025-07-04,1,
446,445,902,2026-02-26,0,7
447,446,1518,2025-12-23,1,
448,447,755,2025-05-27,1,
449,448,808,2025-04-23,1,
450,449,2331,2025-08-17,1,
451,450,1949,2025-11-08,1,
105188,450,2602,2025-11-08,1,
452,451,509,2026-02-26,1,
453,452,1416,2025-03-17,1,
454,453,1237,2026-02-18,1,
455,454,2803,2025-03-25,0,2
456,456,2012,2025-03-13,1,
457,457,1344,2026-01-28,1,
458,458,2338,2025-03-16,1,
459,459,2134,2025-06-23,1,
460,460,74,2025-08-12,1,
461,461,288,2025-11-12,1,
462,462,1677,2025-12-23,1,
463,463,2408,2025-10-10,1,
464,464,733,2025-11-11,1,
465,465,2027,2025-07-21,1,
466,466,1472,2025-07-12,0,4
468,468,1144,2025-05-13,0,19
467,468,1144,2025-05-14,0,2
469,469,2240,2025-07-25,1,
470,470,1660,2025-04-06,1,
471,471,2044,2026-01-14,1,
472,472,1082,2025-06-10,1,
473,473,943,2025-05-03,1,
474,474,148,2025-07-23,1,
475,475,856,2025-12-14,1,
476,476,1854,2026-02-27,1,
477,477,1030,2025-06-15,1,
478,478,1318,2026-03-03,1,
479,479,930,2025-08-02,1,
480,480,787,2026-03-04,1,
481,481,1115,2025-06-17,1,
482,482,1560,2026-01-08,1,
483,483,793,2025-05-13,0,14
484,484,1993,2025-05-14,1,
485,486,1903,2026-01-29,0,1
486,487,1381,2025-03-20,1,
488,488,440,2026-02-23,0,11
487,488,440,2026-02-24,0,5
489,489,69,2025-11-20,1,
490,490,1367,2026-01-03,1,
491,491,947,2025-11-27,1,
492,492,315,2025-06-15,1,
493,493,2245,2025-05-24,1,
494,494,2598,2025-08-05,1,
495,495,350,2025-07-27,1,
497,497,547,2025-03-05,0,6
496,497,547,2025-03-06,0,15
498,498,2115,2025-06-01,1,
499,499,1405,2026-01-03,1,
500,500,2504,2025-12-02,1,
501,501,1962,2025-07-18,0,9
502,502,2286,2025-08-20,1,
503,503,2508,2025-06-07,1,
504,504,2776,2025-12-26,0,1
505,505,818,2026-01-20,1,
506,506,50,2025-12-27,1,
507,507,485,2026-01-25,1,
508,508,1808,2025-12-28,1,
509,509,781,2025-08-13,0,11
510,510,1529,2026-01-27,1,
511,511,2254,2026-01-23,1,
512,512,1110,2025-07-05,1,
513,514,1459,2025-07-26,1,
515,515,849,2025-07-22,0,19
514,515,849,2025-07-23,0,4
516,516,308,2025-06-07,0,5
518,517,2722,2025-06-08,0,4
517,517,2722,2025-06-09,0,20
519,518,2286,2025-03-24,0,16
105355,518,685,2025-03-24,0,2
521,519,2631,2025-03-09,0,3
520,519,2631,2025-03-10,0,10
522,520,2027,2026-02-10,0,12
523,521,1389,2025-12-27,1,
524,522,2121,2025-06-13,1,
525,523,163,2025-07-18,1,
526,524,93,2025-06-13,1,
528,525,2918,2025-08-10,0,2
527,525,2918,2025-08-11,0,5
529,526,1891,2026-01-07,1,
530,527,2051,2025-12-29,1,
532,528,497,2025-12-02,0,19
531,528,497,2025-12-03,0,1
533,529,1023,2026-02-12,1,
535,530,1216,2025-10-24,0,8
534,530,1216,2025-10-25,0,15
536,531,2750,2025-07-11,1,
537,532,544,2026-01-28,1,
538,533,2287,2026-02-08,1,
539,534,549,2025-09-15,1,
540,535,2657,2025-11-09,1,
541,536,2578,2025-08-29,1,
542,537,1923,2026-01-02,1,
543,538,1123,2026-03-02,1,
544,539,1114,2025-08-14,1,
545,540,944,2025-12-01,1,
546,541,34,2025-12-13,0,14
547,542,2289,2026-01-13,1,
548,543,2019,2025-07-04,1,
549,544,2934,2025-06-06,1,
551,545,1722,2025-07-30,0,19
550,545,1722,2025-07-31,0,20
552,546,1018,2026-02-25,1,
553,547,199,2025-05-14,1,
554,548,1044,2025-05-04,1,
555,549,2547,2025-08-30,1,
557,550,570,2025-05-27,0,7
556,550,570,2025-05-28,0,19
558,551,1643,2025-12-08,1,
559,552,2576,2025-10-13,1,
560,553,1642,2025-05-05,1,
562,554,1692,2026-03-03,0,1
561,554,1692,2026-03-04,0,9
564,555,2841,2025-03-11,0,1
563,555,2841,2025-03-12,0,20
565,556,984,2025-06-16,1,
567,557,2634,2025-07-24,0,12
566,557,2634,2025-07-25,0,16
568,558,2462,2025-06-05,0,8
105333,558,2771,2025-06-07,0,8
569,559,2634,2025-04-21,1,
570,560,1403,2026-01-31,1,
571,561,1217,2025-11-09,1,
572,562,1074,2025-05-02,1,
573,563,1025,2026-02-01,0,19
574,564,2437,2026-01-17,1,
575,565,1062,2025-12-31,1,
576,566,1735,2026-01-07,1,
577,568,2736,2025-05-30,0,19
578,569,474,2025-11-02,1,
579,570,166,2025-10-28,1,
105327,570,729,2025-10-28,1,
580,571,813,2025-08-28,1,
581,572,149,2025-04-29,1,
582,573,2052,2025-08-19,1,
583,574,1479,2025-12-17,1,
585,575,724,2025-04-21,0,6
584,575,724,2025-04-22,0,2
587,576,1343,2025-08-09,0,2
586,576,1343,2025-08-10,0,19
588,577,1959,2025-06-29,1,
589,578,263,2026-02-22,1,
590,579,1118,2025-07-15,1,
592,580,2849,2025-05-15,0,4
591,580,2849,2025-05-16,0,19
593,581,1086,2026-01-17,1,
594,582,1405,2025-05-05,1,
595,583,2330,2025-04-09,1,
596,584,814,2025-05-03,1,
597,585,793,2025-11-22,1,
598,586,1246,2025-07-27,1,
599,587,2730,2026-02-27,1,
600,588,2076,2025-09-30,1,
601,590,221,2025-06-14,1,
602,591,134,2025-05-01,0,16
603,592,2909,2025-03-07,1,
605,593,2543,2026-01-15,0,4
604,593,2543,2026-01-16,0,9
606,594,2922,2025-10-29,1,
608,595,144,2025-07-05,0,8
607,595,144,2025-07-06,0,19
610,596,737,2025-12-05,0,1
609,596,737,2025-12-06,0,14
611,597,2862,2025-10-31,1,
612,598,1918,2025-07-10,1,
613,599,2472,2026-01-08,1,
614,600,2756,2026-02-08,1,
615,601,43,2025-06-01,1,
616,602,1708,2025-08-28,1,
617,603,2989,2025-05-03,1,
618,604,1838,2025-06-04,1,
619,605,1250,2025-06-19,1,
620,606,420,2026-02-19,1,
621,607,1201,2025-07-03,1,
622,608,2501,2025-03-28,1,
623,609,1936,2025-10-20,1,
624,610,2385,2025-08-26,1,
625,612,2453,2025-10-25,1,
627,613,1986,2025-12-22,0,2
626,613,1986,2025-12-23,0,15
628,614,715,2025-08-15,1,
629,615,1286,2025-09-07,1,
630,616,192,2025-06-30,1,
631,617,1041,2025-11-21,1,
632,618,884,2025-11-21,1,
633,619,310,2026-01-27,0,19
634,620,392,2025-04-06,0,1
635,621,550,2025-06-27,1,
636,622,55,2025-10-16,1,
638,623,2802,2026-02-11,0,9
637,623,2802,2026-02-12,0,2
639,624,2168,2025-04-16,1,
640,625,320,2026-02-25,1,
641,626,1408,2025-09-18,0,2
642,627,707,2025-10-11,1,
643,628,1230,2025-03-12,1,
644,629,1462,2025-09-13,1,
645,631,86,2025-05-02,1,
646,632,636,2025-08-24,1,
647,633,1209,2025-06-03,1,
648,634,1607,2025-03-10,1,
649,635,2149,2025-03-20,1,
650,636,336,2025-09-30,1,
651,637,202,2026-01-26,1,
652,638,720,2025-03-04,1,
653,639,2586,2025-12-02,1,
654,640,1967,2026-03-01,1,
655,641,1214,2025-12-16,1,
656,642,2515,2025-03-21,1,
657,643,2587,2025-06-24,1,
658,644,370,2025-06-14,1,
659,645,1455,2025-09-30,1,
660,646,2452,2025-07-14,1,
661,647,314,2026-01-26,1,
662,648,2598,2025-09-24,1,
663,649,2488,2025-05-11,1,
664,650,1000,2025-06-28,1,
665,651,910,2025-11-28,1,
666,652,599,2025-11-20,1,
667,653,841,2025-11-25,1,
668,655,2851,2025-06-01,1,
669,656,751,2025-05-27,1,
670,657,1967,2025-07-11,0,6
671,658,2718,2025-12-31,1,
673,659,146,2025-09-05,0,10
672,659,146,2025-09-06,0,4
674,660,1065,2026-02-21,1,
675,661,1645,2026-01-09,1,
676,662,400,2025-09-24,1,
677,663,2707,2025-07-15,1,
678,664,286,2025-09-19,1,
679,665,128,2025-06-20,1,
680,666,1783,2026-01-22,1,
681,668,1067,2025-05-07,1,
682,669,681,2025-09-02,1,
683,670,1422,2025-12-31,1,
684,671,1270,2025-12-15,1,
685,672,1155,2025-05-26,1,
686,673,1599,2025-09-08,1,
687,674,1865,2025-12-24,1,
688,675,1917,2025-10-04,1,
689,676,517,2025-07-10,1,
690,677,2568,2026-01-18,1,
691,678,1840,2026-02-22,1,
692,679,135,2025-07-26,1,
693,680,2756,2025-08-05,1,
694,681,1792,2025-11-14,1,
695,682,62,2025-05-13,1,
696,683,2124,2026-01-24,1,
697,684,829,2025-08-07,1,
698,685,1400,2025-06-06,1,
699,686,1753,2025-06-22,1,
700,687,860,2025-08-07,1,
701,688,2633,2026-02-24,1,
702,689,1045,2025-03-24,1,
704,690,670,2025-11-24,0,6
703,690,670,2025-11-25,0,15
705,691,711,2025-08-10,0,3
706,692,985,2025-05-29,1,
707,693,490,2025-05-22,1,
708,695,2532,2025-11-30,1,
709,696,660,2025-11-26,1,
711,697,752,2025-04-07,0,19
710,697,752,2025-04-08,0,1
712,698,2439,2025-04-17,1,
713,699,136,2025-09-17,1,
714,700,540,2025-09-23,1,
715,701,675,2025-03-18,1,
716,702,2162,2026-01-13,1,
717,703,221,2025-10-02,1,
718,704,2054,2025-12-15,1,
719,705,1907,2026-02-17,1,
720,706,2646,2026-01-20,1,
721,707,2069,2026-02-11,0,12
722,708,506,2025-07-05,1,
723,709,261,2026-03-01,1,
724,710,252,2025-12-10,0,15
725,711,2683,2026-02-12,1,
727,712,1476,2025-03-11,0,6
726,712,1476,2025-03-12,0,2
728,713,2164,2025-08-23,1,
729,714,2695,2025-05-13,1,
731,715,120,2025-03-16,0,19
730,715,120,2025-03-17,0,19
732,716,138,2025-08-06,1,
733,717,2622,2026-02-03,1,
734,718,119,2026-01-21,1,
735,719,1540,2025-10-08,1,
737,720,2420,2026-01-24,0,2
736,720,2420,2026-01-25,0,16
738,721,252,2025-03-23,1,
739,722,542,2025-03-29,1,
740,723,2932,2026-01-22,1,
741,724,2688,2025-10-27,1,
742,725,158,2025-06-07,1,
743,726,1276,2025-08-18,1,
744,727,1848,2026-02-20,1,
745,728,384,2025-04-04,1,
746,729,1068,2025-04-12,1,
747,730,2564,2025-07-20,1,
748,731,2867,2025-06-28,1,
749,732,2934,2025-06-22,1,
750,733,1350,2025-05-11,1,
751,734,2894,2025-08-07,1,
752,735,1947,2025-10-02,1,
753,736,2088,2025-12-15,1,
754,737,1651,2025-10-22,0,2
755,738,735,2026-01-15,1,
756,739,2660,2026-02-01,1,
757,740,1838,2025-10-11,1,
758,741,2389,2025-07-19,1,
759,742,2932,2025-11-05,1,
760,743,1008,2025-06-25,1,
761,744,1792,2025-06-06,1,
762,745,2803,2025-11-08,1,
763,746,2233,2025-06-29,1,
764,747,1670,2025-05-20,1,
765,748,2311,2025-10-14,1,
766,749,1926,2025-05-26,1,
767,751,1803,2026-02-05,1,
769,753,432,2025-08-16,0,6
768,753,432,2025-08-17,0,4
770,754,2374,2026-02-20,1,
771,755,2031,2025-03-26,1,
773,756,2404,2025-08-13,0,12
772,756,2404,2025-08-14,0,10
774,757,858,2025-10-23,1,
775,758,2244,2025-06-26,1,
776,759,2520,2025-07-14,0,1
777,760,2065,2025-09-01,1,
778,761,1946,2026-01-23,1,
779,762,737,2025-07-23,1,
780,763,2682,2025-03-17,1,
781,764,2333,2025-03-20,1,
782,765,2653,2026-01-01,1,
783,766,2919,2025-12-25,1,
784,767,2363,2025-08-05,0,4
786,768,2466,2025-05-29,0,4
785,768,2466,2025-05-30,0,2
788,769,2178,2025-09-16,0,3
787,769,2178,2025-09-17,0,1
789,771,1106,2025-10-28,1,
790,772,2710,2025-09-30,1,
791,773,2689,2025-07-16,1,
792,774,443,2025-05-30,1,
793,775,497,2025-08-06,1,
795,776,1287,2025-08-03,0,4
794,776,1287,2025-08-04,0,1
796,777,1435,2026-02-14,1,
797,778,1223,2025-05-08,0,2
798,779,411,2025-08-21,1,
799,780,778,2025-06-28,1,
800,781,2261,2026-01-12,1,
801,782,2602,2025-06-19,1,
802,783,1233,2025-06-30,1,
803,784,1711,2025-10-10,1,
805,785,1312,2025-09-17,0,17
804,785,1312,2025-09-18,0,19
806,786,514,2026-02-09,1,
807,787,1873,2025-11-10,1,
808,788,2746,2025-08-21,1,
810,789,711,2025-04-09,0,2
809,789,711,2025-04-10,0,9
811,791,2141,2026-01-02,1,
812,792,816,2025-03-19,1,
813,793,479,2025-08-29,1,
814,794,1956,2025-07-24,1,
